[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:04]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:02:15]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:15]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:02:15]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:15]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:02:16]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:02:16]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:03:32]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:09]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:10]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:11]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:12]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:17]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:18]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:18]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:18]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:24:28]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:29:13]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
